,index,link,heading,message
10,29996,/Forum/Appeals/Details/29996,Упаковка товара не соответствует содержимому,"Приобрела в магазине Пятерочка (г. Москва, 5-я Кожуховская ул., 13) лоток яиц Окское категории С0, оплатила банковской картой, чек не взяла, дома обнаружила, что в упаковке находятся 10 яиц не того производителя, а неизвестной мне фабрики Ивановская ПФ и низшей категории С2. Могу ли я вернуть деньги обратно и где можно оставить жалобу на недобросовестного продавца?"
11,29995,/Forum/Appeals/Details/29995,Нет отопления,"Здравствуйте! ДУК не выполняет свои обязанности по отоплению квартиры:
1. в данный момент в квартире очень холодно, батареи едва теплые;
2. изначально они отопление включили под самый конец срока для включения отопления, и во всех соседних домах отопление уже работало, но не у нас. Из-за того, что они поздно включили отопление, они потом еще пару недель разгребали проблемы в его работе.
Что мне сейчас делать? ДУК совершенно непробиваемый. Я уже купил комнатный термометр, буду замерять температуру, потому что, по ощущениям, она ниже 18 градусов, которые считаются минимумом по словам Роспотребнадзора. Можно ли вынудить ДУК сделать перерасчет за неоказываемые и оказываемые не должным образом коммунальные услуги?"
12,29988,/Forum/Appeals/Details/29988,Жалоба о недостающем количестве поставленного товара,"Здравствуйте! 
Просьба рассмотреть обращение и записать на приём.
Жалоба на ИП Козинская Людмила Васильевна ИНН 501105236224, 140301, Московская обл., г.Егорьевск, ул. Сосновая, д.4а, кв.16
12 октября 2021 года была произведена поставка дров Селину Александру Дмитриевичу по адресу Московская обл, Орехово-Зуевский р-н, д.Степановка , д.157
По договору поставки количество 7 (Семь) кубических метров по цене 2500 (Две тысячи пятьсот) руб. за 1 кубический метр. Сумма договора 17500 руб.
Заказ был сделан через торгового представителя ИП Козинская Л.В.  Козинского Михаила Михайловича, он же и производил доставку (был за рулем автомобиля).
Дрова были свалены кучей на прилегающую к дому территорию, оценить объем по  внешнему виду было невозможно. После укладки дров обнаружилась недопоставка в размере 2.5 (Двух с половиной) кубических метров (Путем измерения сложенного объёма дров) . Об этом торговый представитель Козинский М.М. был уведомлен 14 октября 2021 года. На это уведомление Козинский М.М. сказал, что ему необходимо приехать, проверить и померить объем дров, но с 14-ого октября постоянно переносил сроки своего приезда. В доказательство есть записи телефонных разговоров и детализация вызовов от мобильного оператора. 
Так же при доставке дров не был выдан кассовый чек  на услугу  доставка и сумма в размере 1 (Одна) тысяча рублей была оплачена наличными без соответствующих документов.
Третьего ноября 2021 года не дождавшись обещанного приезда Козинского М.М. обратились по телефону непосредственно к ИП Козинской Л.В. (Так же имеются записи разговоров и детализация звонков)
Выслушав ИП Козинская Л.В. сообщила о том, что у них стоимость 2500 руб за валочный куб, а стоимость укладочного составляет 3200 руб. Но на момент заказа и в сопроводительных документах об этом нет ни слова. После переговоров 3 ноября ИП Козинская взяла паузу до понедельника 8 ноября и в результате повторного общения от урегулирования путем поставки недостающего объема дров ИП Козинская отказалась, как и вернуть нам разницу за недостающий товар. Ссылаясь повторно на то, что нам были поставлены дрова в валочных кубических метрах.
 В договоре поставки указано «Продавец обязуется передать Покупателю дрова березовые колотые в количестве 7(Семи) м3…» без помечаний укладочные или валочные. И было предложено оплатить разницу, но если бы изначально была озвучена стоимость  3200 руб за м3, то заказывать в этом месте мы бы не стали. 
По поводу отсутствия чека на доставку ИП Козинская сослалась на то, что доставка осуществляется транспортной компанией и к ней никакого отношения не имеет, и что эту информацию необходимо уточнить у Михаила Михайловича, который привозил дрова. Возможно я ошибаюсь, но всегда сопроводительные документы на доставку передавались вместе с товаром. 
Просим произвести проверку данного инцидента, и записать нас на приём для передачи копий документов по поставке, аудиозаписей разговоров, детализации звонков. 
Заказчик по договору  Селин Александр Дмитриевич (мой отец) является инвалидом 1 группы по зрению. 
Обращение составлено с его слов дочерью Овчинниковой Галиной Александровной, зарегистрированной по тому же адресу д. Степановка д.157, Орехово-Зуевского р-на.
 Контактный телефон +7-926-587-03-08 , e-mail selina_galina@mail.ru
"
13,29987,/Forum/Appeals/Details/29987,Муравьи в квартире ,"В доме по адресу: Улица Конева 13 (4 подъезд) в течении года боремся с муравьями.
Обошли все квартиры нашего подъезда и у всех такая проблема.
Что нам делать? 
"
14,29983,/Forum/Appeals/Details/29983, в больнице на принимают ПРЦ тест,"04.11.2021 я в частной клинике сдала ПЦР тест 4 ноября (в Химках) - результаты во вложении, 
06.11.2021 пришёл результат - положительный, я позвонила по номеру 122 и вызвала врача на дом, автоответчик сообщил, что моё обращение принято. Номер тел 926-400-69-50.
08.11.2021 я ещё раз позвонила 122 и снова вызвала врача. Номер тел 926-400-69-50.
09.11.2021 поехала самостоятельно в больницу по месту прописки в Москве. 
Она оказалась закрыта на ремонт. 
Узнала адрес ближайшей ГП 219 Ф2 (ГП 126) Бульвар Яна Райниса, д.4.
Мне открыли больничный лист с 09.11.2021, а не с 04.11.2021 (дата сдачи теста).
Сказали, что моего теста нет в реестре. И нет зафиксированных сообщений о том, что я вызывала скорую.
Скажите, что сделать, чтобы мне исправили дату открытия больничного листа с 09.11.2021 на 04.11.2021?
Результаты теста выгружены в госуслуги 06.11.2021 и отправлены в Роспотребнадзор по Московской области 07.11.21.
Номер извещения 77-51-100-19-9318-2021.
"
15,29982,/Forum/Appeals/Details/29982,QR код переболевшего,"Прошу дать мне QR код, так как переболел короновирусом с 07.10.21 г. по29. 10.21 г. Наблюдался в поликлинике ""ФКУЗ МСЧ МВД России по Челябинской области"", но терапевт отказала выдать мне QR код, ссылаясь на то что у них нет таких полномочий. ПЦР тест сдавал в лаборатории Инвитро 14.10.21 г., пришёл положительный результат."
16,29981,/Forum/Appeals/Details/29981,Отказ от возврата товара по браку,"Приобрели люстру производителя Citilux через Яндекс.Маркет.  Установили в люстру рекомендованные производителем лампочки (цоколь E14). Через несколько дней использования от стеклянных плафонов стали отваливаться осколки (вероятно, от нагрева). 

Продавец отказывается оформлять возврат, утверждая, что в проблеме виноваты мы, так как установили лампочки не той формы (имеется в виду форма самой лампочки, не цоколя). Нигде в документации не указано, что у лампочек должна быть конкретная форма. Указан только цоколь. "
17,29979,/Forum/Appeals/Details/29979,Запрос информации,"Прошу дать информацию о номере и дате регистрации в Министерстве юстиции РФ Постановления главного санитарного врача по Кировской области Белоусовой Е.А. № 6 от 11.10.2021 года, а также прошу дать ссылку или иную информацию о публикации данного постановления на официальном портале www.pravo.gov.ru либо ином официальном источнике."
18,29976,/Forum/Appeals/Details/29976,Допуск родителе на праздник в детский сад по сертификату о вакуинации,"Я, Фадеева Дарья Евгеньевна, являюсь законным представителем (матерью) Фадеевой Анны Романовны 2015 г.р. и Фадеевой Полины Романовны 2017 г.р, посещающих муниципальное бюджетное дошкольное образовательное учреждение — детский сад № 77 «Ёлочка».

Мне стала известна информация, исходящая от заведующей Кучиной Елены Валентиновны, согласно которой родители воспитанников детского сада не могут попасть на праздничное мероприятие к своему ребенку без наличия QR-кода сертификата прохождении о вакцинации против новой коронавирусной инфекции. Такое решение обосновывается борьбой с новой коронавирусной инфекцией.
Скажите пожалуйста данные действия законны?"
19,29972,/Forum/Appeals/Details/29972,Предоставление услуг не отвечающим качеством ,"За год обслуживания у официального дилера Фольксваген г Тверь макон авто: было мной произведено несколько Т О  , по которым возникло много нареканий и попросту выяснилось , что за услуги были взяты деньги а по факту выдали бумаги с предыдущими данными которые не соответствовали действительности , дилер в устной форме признаёт свою вину , последний каплей стал визит от 30.10.21. Который заставил меня ждать 8 ч  , а по факту машина стояла и ее не делали , так как я находился все 8 ч там я услыхал , что сотрудники ездить за QR кодами и на прививки и поэтому время ожидания увеличилось , мне прислали отписку о проверке но по факту они обманывают "
20,29971,/Forum/Appeals/Details/29971,"Отказ утилизации упаковки в ПВЗ Озон , город Сочи , Ялтинская,  4а","Получая и проверяя заказы в этом пункте выдачи неоднократно сталкивался с отказом сотрудников забрать упаковку на утилизацию.  Ссылаются на приказ начальства и на отсутствие договора на вывоз мусора. Иногда объем упаковки значительно превышает объем вложения, и я вынужден искать ближайший контейнер во дворах соседних домов.  Прошу принять меры и обязать пвз на заключение договора на вывоз мусора. "
21,29970,/Forum/Appeals/Details/29970,Нет анализа в медицинской карте,"Сдавался анализ на антитела 7.11.21 в «Городская поликлиника № 209, Филиал № 1»
Результат сказали появится в медицинской карте через 2 дня. Сегодня 10.11, результата нет. По телефону отвечают, что ничего не знают, ждите. Как узнать свои результаты, если теперь всё онлайн, но он не добавляется туда. "
22,29968,/Forum/Appeals/Details/29968,Qr коды. ,"С 8.11.21 вынуждены на входе в магазин (работаю в магазине одежды) проверять у посетителей qr код, на основании постановления правительства 949 п. Но это получается нарушение ФЗ, и за это существуют статьи 136, 286, 330 УК РФ. Как же быть в таком случае? Как быть в таком случае сотрудникам магазина? Ведь все эти статьи уголовные и мы не имеем права как либо ограничивать покупателей и тем более не имеем права отказать им в обслуживании по причине связанной с состоянием здоровья. "
23,29967,/Forum/Appeals/Details/29967,"Дом.ru  АО ""Эр-Телеком Холдинг"" не выдали ключ от домофона","Добрый день.

Я, Пискунова Ирина Николаевна, обращаюсь к вам по проблеме с домофоном по адресу г. Челябинск ул. Потемкина д.18 кв.41.
01.11.2021г. Дом.ru установили домофоны по адресу г. Челябинск ул. Потемкина д.18 . 
3.11.2021г. после 17 часов появилось объявление о том, что с 3.11 по 5.11 будут выдавать ключи от домофона. В 22.00 какой то молодой человек раздал жильцам подъезда распечатанные бланки договоров (без чьей либо подписи) с просьбой подписать. 
В это время в моей квартире находился мой сын (я проживаю по другому адресу).
Договор подписывать мы отказались. В ответ молодой человек отказался выдавать нам ключ от домофона (ни платно, ни бесплатно).
Считаю, что данными действиями Дом.ru нарушает мои права на право пользования частной собственностью, ограничивая доступ к моей квартире по адресу г. Челябинск ул. Потемкина д.18 кв.41.
08.11.2021 я обратилась по телефону в данную организацию с просьбой предоставить мне ключ от домофона. После разговора с тремя специалистами данной компании мне сказали что передадут мою заявку. Сегодня уже 10.11, со мной до сих пор никто не связался и ключ не предоставили.
На мой очередной звонок 10.11 мне сказали что надо подъехать в офис на Лесопарковую 6 с паспортом и документами подтверждающими право собственности.
Обязана ли я предоставлять им эти документы? Я должна ехать к ним в офис или они должны выдать ключ мне дома? 
С уважением, Пискунова И. Н. ( телефон 89193589164), почта piskunova@vspochta.ru"
24,29961,/Forum/Appeals/Details/29961,Покупка товара на сайте,"Заказала духи на сайте https://essential-women.ru, оплата при получении на почте, пришёл заказ, товар не соответствует заказанному, адрес отправителя другой https://lyric-shop.ru. Оплатила, вскрыть посылку можно было только после получения. Как вернуть или получить то что я заказала"
25,29960,/Forum/Appeals/Details/29960,"Башинформсвязь/Ростелеком игнорируют, водят за нос - не отключают услугу.","Добрый вечер!
Пользовались услугами интернета данного провайдера. В октябре у нас умерла мама - кому оформляли эту услугу. Я десятки раз звонила, писала...принимают информацию, переводят на старшего специалиста...и с концами - по 30 минут ожидала, сбрасывала, звонила снова и снова по кругу.
Уговаривали оставить этот выгодный тариф, ""заморозить"" услугу, вдруг потом пригодится...
27.10.2021 заявку через чат якобы, всё таки обработали, написали, что счёт закроется в течение 3х дней и заявку закрыли. Пришёл счёт на оплату с авансом за ноябрь!!!
Прошу разобраться, помочь довести дело до конца! "
26,29957,/Forum/Appeals/Details/29957,Невыполнен ремонт ноутбука,"В ремонт сдавался ноутбук с проблемой постоянных ошибок после которых он перезагружался. В ноутбуке заменили работающий вентилятор охлаждения, который был полностью исправен. Так же заменили SSD  M.2 накопитель, который тоже был исправен, так как после данного ремонта проблема не ушла."
27,29954,/Forum/Appeals/Details/29954,Закончилась лицензия на алкоголь,"ООО Альянс на основании долгосрочного договора аренды получило лицензию на продажу алкоголя. На сегодняшний день, ООО Альянс незаконно занимает помещения без договора аренды, лицензия на продажу алкоголя закончилась, продажей занимаетс, прошу провести проверку. Во вложение письмо "
28,29945,/Forum/Appeals/Details/29945,Возврат телефона,"Добрый день, купила телефон через интернет-магазин МТС, его привёз курьер. Когда открыла коробку , увидела, что телефон не того цвет, который хотела. Потом проверила интернет-заказ, действительно, ошиблась при заказе с цветом. 
Подала заявление в день оплаты на возврат по причине , что цвет не подошёл. Прошло 8 дней, мтс не может дать ответ. Звонили на горячую линию, ходили в магазин, куда сдали телефон, не могут сказать статус заявления. Продавец говорит, что заявление будут проверять около месяца. 
Прав ли продавец? Как мне известно, что рассматривают заявку 10 дней. И что делать, если срок будет нарушен?"
29,29944,/Forum/Appeals/Details/29944,Не выполнена доставка товара,"20.10.21 г. Сделан заказ в интернет магазине uterque (без предворительной оплаты). На эл. Почту пришли письма с подтверждением отправки заказа двумя транспортными компаниями CDEK и DHL (скрин прилагаю). 02.11.21 Направлено обращение на эл почту интернет магазина с просьбой разъяснить сроки доставки, ответ не был получен. В ходе телефонного разговора с DHL сотрудник подтвердил что посылка от магазина не получена. Сотрудники интернет магазина уверили что посылка в транспортной компании DHL. Подскажите, как мне получить мой заказ
Abchimbir@gmail.com"
30,29941,/Forum/Appeals/Details/29941,Разобщение,"Прошу разъяснить п2516 действующих СП, который регулирует порядок разобщения и условия отстранения детей в частности в образовательных организациях при проведении вакцинации ОПВ. Если в школе в соответствии с НКПП проходит вакцинация живой полиомиелитной вакциной ОПВ в 7-8 класс, то есть 14-летним, могут ли не привитого ребенка отстранить от обучения в очной форме, если он учится в 3 классе и находится в отдельном крыле  здания для начальной школы?"
31,29940,/Forum/Appeals/Details/29940,Страна производитель,"Добрый день!
Подскажите, пожалуйста, какую страну изготовитель необходимо писать на упаковке товара если он собран в России из китайских комплектующих?
Спасибо!"
32,29937,/Forum/Appeals/Details/29937,Мошенический сайт,"Данный сайт имитирует деятельность, но на самом дела это сайт мошенников, которые пытаются списать все средства с карты которые на ней есть https://theatre-tours.ru/buytickets/kankun/aflsha Меня так обманули на 2490 рублей"
33,29936,/Forum/Appeals/Details/29936,Вакцинация от COVID-19,"В 20 городской больнице в 3 поликлинике нам ( 2 человека)  08.11.21 было отказано в получении второго компонента вакцины Ковивак.  Первый мы ставили 23.10.21 по месту жительства в данной поликлинике. При этом нас заверили в том, что второй компонент будет нам оставлен в обязательном порядке. На второй записывались заранее ( 28.10.21), талоны в базе данных были на 16-00 и 16-04.  На вакцинацию пришли вовремя. Нам отказали по причине отсутствия вакцины. В другую поликлинику направить отказались.
Прошу принять меры и помочь завершить вакцинацию в соответствии с инструкцией к препарату и законодательством о вакцинации населения."
34,29935,/Forum/Appeals/Details/29935,Не возвращают деньги за авиабилеты,"Здравствуйте! В августе 2021 приобрела электронные авиабилеты через агентство ООО «Мего Трэвел Рус».  По причине болезни поездка не состоялась, о чем заблаговременно до даты вылета было сообщено в данное Агентство.  Аннулирование билетов было подтверждено. По окончании болезни, 08.09.2021, мной были предоставлены в Агентство все необходимые документы для возврата денежных средств. 31.10.2021 письмом по электронной почте мне пришел ответ о том, что возврат оформлен. Однако по настоящее время, 09.11.2021, денежные средства за неиспользованные авиабилеты мне не поступили. 
Подскажите, пожалуйста, куда я могу обратиться с жалобой о нарушении моих прав по данному вопросу?
Спасибо"
35,29933,/Forum/Appeals/Details/29933,Virgin connect (интернет),"Здравствуйте. Заключен договор с компанией Вирджин коннект, на услуги интернет связи. 
Логин: 5291358, абонент Ветчинова Элина Евгеньевна. 
г. балашиха.
5 дней интернет не предоставляется, дозвонится в техподдержку невозможно. обращения на сайте игнорируются, хотя деньги списываются  .

Хочу разорвать с ними договор и вернуть денежные средства. 
но не могу связаться с представителями компании... 

Считаю, что права мои нарушены."
36,29932,/Forum/Appeals/Details/29932,Не возвращают денежные средства за возвращенный товар,"Я заказала байкерскую куртку 2960G-99XX-XL в магазине SINSAY. 28.08.2021 г.  Пришло смс оповещение, что куртка направлена мне , после получения и примерки куртка мне не подошла и я ее отправила  назад, но до сих пор деньги за куртку я не получила в размере 1599 руб., вернули лишь деньги за отправку 570 руб. Нарушены мои права в соответствии с законодательством РФ."
37,29931,/Forum/Appeals/Details/29931,Вакцинация,"Здравствуйте.На заводе директор заставляет вакцинироваться от коронавируса,скажите законно ли его требование,работаю сварщиком."
38,29927,/Forum/Appeals/Details/29927,Отказ в возврате денежных средств или обмен товара на качественный. ,"1 ноября я купила на сайте Wildberries карты Таро. В этот же день, открыв упаковку, я обнаружила дефект на одной из карт, слазит покрытие, еще на 4 картах будет такой же дефект, если я начну ими пользоваться. Я сразу же обратилась в службу контроля качества на сайт. Через несколько дней пришел ответ, в котором мне отказано в возврате денег. Стоимость карт 2085 рублей. Я второй раз обратилась в службу проверки качества, и снова отказ. Мотивируют тем, что товар не подлежит обмену и возврату. Но ведь это брак, почему не подлежит? Куда я могу обратиться за помощью? "
39,29925,/Forum/Appeals/Details/29925,Антиковидные нарушения,"В г Орел, а точнее тц воскресенский у большинства торговых точек нет разрешения на торговлю, куаркоды распечатаны на посторонних людей, прививок у большинства нет.  Фамилия на куаркоде на двери и фамилии ип не соответствуют. "
40,29924,/Forum/Appeals/Details/29924,возврат из OZON,"12.09.2021г. я оформила и оплатила заказ на сайте интернет магазина OZON  на сумму 6265 руб 00 коп,  что подтверждается выпиской из банка. 
28.09.2021г. мне доставили Смартфон Xiaomi Redmi 9A. Товар оказался не русифицированным, отсутствовала инструкция на русском языке и гарантийный талон на товар, информации на сайте, что телефон не поддерживает русский язык не было.  
Поскольку я не могу пользоваться смартфоном без установленного русского языка, я обратилась 05.10.2021 г с заявкой на возврат на сайте интернет магазина OZON. После безрезультатной переписки в чате на сайте OZON с сотрудниками компании, где мне предлагали самостоятельно отправить телефон в Китай.  09.10.2021 я обратилась в пункт выдачи товара чтобы вернуть cмартфон. Сотрудник пункта выдачи отказалcя принять товар на возврат.  Законна ли данная ситуация ? Следует ли мне обратиться в суд?
"
41,29923,/Forum/Appeals/Details/29923,больничный лист по контакту,"01.11.2021г. с женой обратились с поликлинику с симптомами Ковида, получили больничные листы до 08.11.2021г. 02.11.2021г у жены получен положительный результат ПЦР на ковид. 05.11.2021 мне позвонили с Роспотребнадзора и сообщили, что Лицу, контактному с больными COVID-19,  необходимо соблюдать в течение 14-ти календарных дней со дня контакта с больным COVID-19 режим изоляции. Ответственность за нарушение режима изоляции предусмотрена ч. 2 ст. 6.3 КоАП РФ (штраф от 15 до 40 000 руб.). Больничный лист выписывается на период изоляции медицинской организацией по месту жительства. Позвонив в поликлинику, 08.11.2021г. для уточнения, мне сообщили, что больничный будет закрыт сегодняшней датой (08.11.2021), так как тест у меня отрицательный. Только после категорических возражений больничный продлили до 12.11.2021г. и обязали явиться на прием. Вопрос: Мне находится дома или идти на прием к врачу 12.11.2021г. рискуя получить штраф? Нужно ли пересдать ПЦР, если в семье по очереди заболело Ковидом 5 (пять)   членов семьи, трое из которых привиты. У меня нет прививки. Я не могу быть здоров. Если больничный должен быть закрыт, то какой датой? Последний положительный ПЦР от 06.11.2021г."
